n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilit√©;observations;date_maj
Mairie Herserange;Virta;Virta;FR*E10*P26562;HERSERANGE - Parking de la Mairie;120, Route de Paris - 54440 HERSERANGE;54261;49.518518;5.784940;2;FR*E10*E26562;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;17/11/2020
Mairie Herserange;Virta;Virta;FR*E10*P26563;HERSERANGE - Parking de la Mairie;120, Route de Paris - 54440 HERSERANGE;54261;49.518518;5.784940;2;FR*E10*E26563;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;17/11/2020
Hôtel Archambeau;Virta;Virta;FR*E10*PAC*35497;Thonac - Parking restaurant;Le Bourg - 24290 Thonac;24552;45.022197;1.116399;1;FR*E10*EAC*35497;7;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;17/11/2020
Camping des Dunes;Virta;Virta;FR*E10*P33899;Le Bois-Plage-en-Ré - Camping;Route de la Couarde - 17580 Le Bois-Plage-en-Ré;17051;46.187012;-1.406844;1;FR*E10*E33899;7;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Camping Arinella;Virta;Virta;FR*E10*P20921;Ghisonaccia - Camping;Route de la mer, Brushetto - 20240 Ghisonaccia;2B123;41.995246;9.445071;2;FR*E10*E20921;22;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Camping Arinella;Virta;Virta;FR*E10*P20922;Ghisonaccia - Camping;Route de la mer, Brushetto - 20240 Ghisonaccia;2B123;41.995246,9.445071;9.445072;2;FR*E10*E20922;22;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Camping Arinella;Virta;Virta;FR*E10*P20923;Ghisonaccia - Camping;Route de la mer, Brushetto - 20240 Ghisonaccia;2B123;41.995246,9.445071;9.445073;2;FR*E10*E20923;22;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Camping Arinella;Virta;Virta;FR*E10*P20924;Ghisonaccia - Camping;Route de la mer, Brushetto - 20240 Ghisonaccia;2B123;41.995246,9.445071;9.445074;2;FR*E10*E20924;22;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Camping Arinella;Virta;Virta;FR*E10*P30333;Ghisonaccia - Camping;Route de la mer, Brushetto - 20240 Ghisonaccia;2B123;41.995246,9.445071;9.445075;1;FR*E10*E30333;22;EF - T2;payant;Selon ouverture;Recharge par badge et avec une application smartphone;17/11/2020
Le Relais des Vigiers;Virta;Virta;FR*E10*PAC*35479;Le Vigiers - Parking du Relais;Lieu dit Le Vigiers, 24240 Monestier;24276;44.792649;0.289881;2;FR*E10*EAC*35479;7;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;17/11/2020
Le Relais des Vigiers;Virta;Virta;FR*E10*PAC*35480;Le Vigiers - Parking du Relais;Lieu dit Le Vigiers, 24240 Monestier;24276;44.792649;0.289881;2;FR*E10*EAC*35480;7;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;17/11/2020
Pia Green;Virta;Virta;FR*E10*E43978;Champagne au Mont d'Or - Parking Restaurant;8 Avenur du Général De Gaulle;69040;45.80245775,4.78470360;4.78470360;1;FR*E10*E43978;7;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;29/03/2021
Pia Green;Virta;Virta;FR*E10*E43977;Champagne au Mont d'Or - Parking Restaurant;8 Avenur du Général De Gaulle;69040;45.80245775;4.78470360;1;FR*E10*E43977;7;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;29/03/2021
Hôtel Ibis Style;Virta;Virta;FR*E10*E37512;Toulouse - Parking Hotel;49 avenue Jean Zay;31555;43.65237411;1.42539138;2;FR*E10*E37512;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;29/03/2021
Hôtel Ibis Style;Virta;Virta;FR*E10*E37513;Toulouse - Parking Hotel;49 avenue Jean Zay;31555;43.65237411;1.42539138;2;FR*E10*E37513;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;29/03/2021
