nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;coordonneesXY;nbre_pdc;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;observations;date_maj;cable_t2_attache
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90346811;;R3 - Albi Le Sequestre - Action;Parking privé à usage public;Rue de Cap Long, 81990 Le Sequestre;81284;[43.911593,2.129364];4;FR3R3E10001456812;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037989714721;2024-12-30;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90346811;;R3 - Albi Le Sequestre - Action;Parking privé à usage public;Rue de Cap Long, 81990 Le Sequestre;81284;[43.911593,2.129364];4;FR3R3E10001456811;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037989714721;2024-12-30;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90222922;;R3 - Estancarbon - Chaussea;Parking privé à usage public;5 Av. du Cagire, 31800 Estancarbon;31175;[43.117013,0.760407];6;FR3R3E10001456692;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50051595176309;2024-12-05;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90222922;;R3 - Estancarbon - Chaussea;Parking privé à usage public;5 Av. du Cagire, 31800 Estancarbon;31175;[43.117013,0.760407];6;FR3R3E10001456691;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50051595176309;2024-12-05;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90222922;;R3 - Estancarbon - Chaussea;Parking privé à usage public;5 Av. du Cagire, 31800 Estancarbon;31175;[43.117013,0.760407];6;FR3R3E10001456681;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50051595176309;2024-12-05;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P90222922;;R3 - Estancarbon - Chaussea;Parking privé à usage public;5 Av. du Cagire, 31800 Estancarbon;31175;[43.117013,0.760407];6;FR3R3E10001456682;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50051595176309;2024-12-05;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89882136;;R3 - Vannes - Mr Meuble;Parking privé à usage public;parking Gemo, 56000 Vannes;56260;[47.664063,-2.781345];4;FR3R3E10001456611;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50021930541828;2024-10-23;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89882136;;R3 - Vannes - Mr Meuble;Parking privé à usage public;parking Gemo, 56000 Vannes;56260;[47.664063,-2.781345];4;FR3R3E10001456612;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50021930541828;2024-10-23;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89660153;;R3 - Portet-Sur-Garonne - 123 Pare-Brise;Parking privé à usage public;2 Bd Hélène Viannay, 31000 Toulouse;31155;[43.537405,1.38873];5;FR3R3E10000849701;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037852700894;2024-06-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89660153;;R3 - Portet-Sur-Garonne - 123 Pare-Brise;Parking privé à usage public;2 Bd Hélène Viannay, 31000 Toulouse;31155;[43.537405,1.38873];5;FR3R3E10000849702;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037852700894;2024-06-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89660153;;R3 - Portet-Sur-Garonne - 123 Pare-Brise;Parking privé à usage public;2 Bd Hélène Viannay, 31000 Toulouse;31155;[43.537395,1.388746];5;FR3R3E10001361262;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037852700894;2024-06-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89660153;;R3 - Portet-Sur-Garonne - 123 Pare-Brise;Parking privé à usage public;2 Bd Hélène Viannay, 31000 Toulouse;31155;[43.537395,1.388746];5;FR3R3E10001361263;;22;false;true;false;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037852700894;2024-06-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89660153;;R3 - Portet-Sur-Garonne - 123 Pare-Brise;Parking privé à usage public;2 Bd Hélène Viannay, 31000 Toulouse;31155;[43.537395,1.388746];5;FR3R3E10001361261;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037852700894;2024-06-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89333944;;R3 - Joué-les-Tours - Pizza Del Arte;Parking privé à usage public;15 Rue Gutenberg, 37300 Joue les tours;37122;[47.348015,0.647692];5;FR3R3E10000849642;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037131141346;2023-02-14;;2025-12-12;false
R3;902726488;info@r3-charge.fr;R3;exploitation@r3-charge.fr;0321509292;R3;FR3R3P89333944;;R3 - Joué-les-Tours - Pizza Del Arte;Parking privé à usage public;15 Rue Gutenberg, 37300 Joue les tours;37122;[47.348015,0.647692];5;FR3R3E10000849641;;150;false;false;true;false;false;false;true;true;;0,55€/kWh;Accès libre;false;24/7;Accessible mais non réservé PMR;non précisé;false;Direct;50037131141346;2023-02-14;;2025-12-12;false
