nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON1,FRSODPLYON11,CLM01 - rue César Paulet,Voirie,5B Rue César Paulet 69660 Collonges-au-Mont-d'Or,69063,"[45.817736,4.842099]",4,FRGLYELYON111,FR*SOD*E*LYON*1*1*1*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19184804401314,2019-12-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON1,FRSODPLYON11,CLM01 - rue César Paulet,Voirie,5B Rue César Paulet 69660 Collonges-au-Mont-d'Or,69063,"[45.817736,4.842099]",4,FRGLYELYON112,FR*SOD*E*LYON*1*1*2*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19184804401314,2019-12-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON1,FRSODPLYON12,CLM01 - rue César Paulet,Voirie,5B Rue César Paulet 69660 Collonges-au-Mont-d'Or,69063,"[45.817736,4.842099]",4,FRGLYELYON121,FR*SOD*E*LYON*1*2*1*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19184804401314,2020-02-20,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON1,FRSODPLYON12,CLM01 - rue César Paulet,Voirie,5B Rue César Paulet 69660 Collonges-au-Mont-d'Or,69063,"[45.817736,4.842099]",4,FRGLYELYON122,FR*SOD*E*LYON*1*2*2*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19184804401314,2020-02-20,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON10,FRSODPLYON101,ECY03 - Rue Auguste Tramier,Voirie,2 Rue Auguste Tramier 69130 Écully,69081,"[45.774545,4.781649]",4,FRGLYELYON1011,FR*SOD*E*LYON*10*1*1*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19136034502251,2020-06-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON10,FRSODPLYON101,ECY03 - Rue Auguste Tramier,Voirie,2 Rue Auguste Tramier 69130 Écully,69081,"[45.774545,4.781649]",4,FRGLYELYON1012,FR*SOD*E*LYON*10*1*2*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19136034502251,2020-06-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON10,FRSODPLYON102,ECY03 - Rue Auguste Tramier,Voirie,2 Rue Auguste Tramier 69130 Écully,69081,"[45.774545,4.781649]",4,FRGLYELYON1021,FR*SOD*E*LYON*10*2*1*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19136034502251,2020-06-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON10,FRSODPLYON102,ECY03 - Rue Auguste Tramier,Voirie,2 Rue Auguste Tramier 69130 Écully,69081,"[45.774545,4.781649]",4,FRGLYELYON1022,FR*SOD*E*LYON*10*2*2*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19136034502251,2020-06-10,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON100,FRSODPLYON1001,LY707 - Debourg,Voirie,7 Rue Simon Fryd 69007 Lyon,69387,"[45.730640,4.835647]",4,FRGLYELYON10011,FR*SOD*E*LYON*100*1*1*_,7.4,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19198697322810,2021-07-09,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
Grand Lyon,419070180,lucas.malacarne@izivia.com,IZIVIA,sav@izivia.com,+33(0)972668001,Grand Lyon,FRGLYPLYON100,FRSODPLYON1002,LY707 - Debourg,Voirie,7 Rue Simon Fryd 69007 Lyon,69387,"[45.730640,4.835647]",4,FRGLYELYON10021,FR*SOD*E*LYON*100*2*1*_,7.36,False,True,False,False,False,False,True,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,Indirect,19198697322810,2021-07-09,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2026-01-02,False
