nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A11,FRETIE84087A11,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A12,FRETIE84087A12,22,true,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A13,FRETIE84087A13,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A14,FRETIE84087A14,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A15,FRETIE84087A15,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP84087A,FRETIP84087A,e-Totem  INFRA - Formule 1 Orange,Parking privé à usage public,164 Rue Agis Rigord 84100 ORANGE,84087,"[44.13773925874119, 4.793801084658256]",6,FRETIE84087A16,FRETIE84087A16,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-06-25,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP34027A,FRETIP34027A,e-Totem - 3M - Beaulieu - Parking du Stade,Parking privé à usage public,4c Avenue du Stade 34160 BEAULIEU,34027,"[43.729967, 4.022372]",7,FRETIE34027A11,FRETIE34027A11,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-09-24,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP34027A,FRETIP34027A,e-Totem - 3M - Beaulieu - Parking du Stade,Parking privé à usage public,4c Avenue du Stade 34160 BEAULIEU,34027,"[43.729967, 4.022372]",7,FRETIE34027A12,FRETIE34027A12,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-09-24,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP34027A,FRETIP34027A,e-Totem - 3M - Beaulieu - Parking du Stade,Parking privé à usage public,4c Avenue du Stade 34160 BEAULIEU,34027,"[43.729967, 4.022372]",7,FRETIE34027A13,FRETIE34027A13,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-09-24,,2025-06-17,
E-TOTEM,,contact@e-totem.fr,E-TOTEM,contact@e-totem.fr,,Réseau e-Totem Infrastructures,FRETIP34027A,FRETIP34027A,e-Totem - 3M - Beaulieu - Parking du Stade,Parking privé à usage public,4c Avenue du Stade 34160 BEAULIEU,34027,"[43.729967, 4.022372]",7,FRETIE34027A14,FRETIE34027A14,22,false,true,false,false,false,false,true,,,,Accès libre,false,24/7,Accessible mais non réservé PMR,Inconnu,false,,,2024-09-24,,2025-06-17,
