nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;coordonneesXY;nbre_pdc;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;observations;date_maj;cable_t2_attache
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800111;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800112;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800121;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800122;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800131;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800132;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800141;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800142;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800151;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800152;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800161;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02408001;;Parc Visiteurs;Parking public;33 rue Marcelin Berthelot  02 LAON FRANCE;;[3.611080000,49.564295000];12;FRPKGE0240800162;;3.7;false;false;false;false;true;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 3.70m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02691001;;Hôtel de Ville;Parking public;Pl de l'hôtel de ville  02100 Saint-Quentin FRANCE;;[3.286247840,49.846617310];6;FRPKGE0269100111;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02691001;;Hôtel de Ville;Parking public;Pl de l'hôtel de ville  02100 Saint-Quentin FRANCE;;[3.286247840,49.846617310];6;FRPKGE0269100121;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP02691001;;Hôtel de Ville;Parking public;Pl de l'hôtel de ville  02100 Saint-Quentin FRANCE;;[3.286247840,49.846617310];6;FRPKGE0269100131;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP06012001;;Belle Epoque;Parking public;avenue de general de gaulle  6240 Beausoleil  FRANCE;;[7.426838000,43.743098000];11;FRPKGE0601200111;;22;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP06012001;;Belle Epoque;Parking public;avenue de general de gaulle  6240 Beausoleil  FRANCE;;[7.426838000,43.743098000];11;FRPKGE06012001111;;7.4;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP06012001;;Belle Epoque;Parking public;avenue de general de gaulle  6240 Beausoleil  FRANCE;;[7.426838000,43.743098000];11;FRPKGE0601200121;;22;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
GROUPE INDIGO;;;GROUPE INDIGO;support.emobility.fr@group-indigo.com;;Réseau de recharge du groupe Indigo;FRPKGP06012001;;Belle Epoque;Parking public;avenue de general de gaulle  6240 Beausoleil  FRANCE;;[7.426838000,43.743098000];11;FRPKGE0601200131;;22;false;true;false;false;false;;true;;;;Accès réservé;false;24/7;Accessibilité inconnue;Hauteur maximale 1.90m;false;;;;;2025-12-30;
