Numéro pdc;Numéro station;n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
1;3;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*3*_*_*_;Pégomas Parking Parchois;D109A;06090;6.926410;43.594130;2;FR*A16*E*WIIZ*3*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;3;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*3*_*_*_;Pégomas Parking Parchois;D109A;06090;6.926410;43.594130;2;FR*A16*E*WIIZ*3*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;12;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*12*_*_*_;Grasse Stade de la Paoute;Route Napoléon;06069;6.952294;43.632512;2;FR*A16*E*WIIZ*12*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;12;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*12*_*_*_;Grasse Stade de la Paoute;Route Napoléon;06069;6.952294;43.632512;2;FR*A16*E*WIIZ*12*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;13;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*13*_*_*_;Grasse Parking Place Frédéric Mistral;Place Frédéric Mistral;06069;6.912976;43.639540;2;FR*A16*E*WIIZ*13*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;13;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*13*_*_*_;Grasse Parking Place Frédéric Mistral;Place Frédéric Mistral;06069;6.912976;43.639540;2;FR*A16*E*WIIZ*13*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;14;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*14*_*_*_;Grasse Parking Rue de l'ancien palais de justice;Rue de l'ancien palais de justice;06069;6.920752;43.657752;2;FR*A16*E*WIIZ*14*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;14;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*14*_*_*_;Grasse Parking Rue de l'ancien palais de justice;Rue de l'ancien palais de justice;06069;6.920752;43.657752;2;FR*A16*E*WIIZ*14*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
1;15;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*15*_*_*_;Grasse Parking salle omnisports;Avenue de Provence;06069;6.927089;43.656870;2;FR*A16*E*WIIZ*15*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
2;15;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*15*_*_*_;Grasse Parking salle omnisports;Avenue de Provence;06069;6.927089;43.656870;2;FR*A16*E*WIIZ*15*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/05/14
